,ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
343,1473.0,49340.0,1.0,1.0,1.0,1.0
344,1474.0,15764.0,1.0,1.0,1.0,1.0
345,1475.0,49340.0,1.0,1.0,1.0,1.0
346,1501.0,49340.0,1.0,1.0,1.0,1.0
347,1503.0,49340.0,1.0,1.0,1.0,1.0
348,1504.0,14454.0,0.0016238160000000001,0.0,0.007633588,0.00176278
349,1504.0,49340.0,0.998376184,1.0,0.992366412,0.99823722
350,1505.0,49340.0,1.0,1.0,1.0,1.0
351,1506.0,49340.0,1.0,1.0,1.0,1.0
352,1507.0,49340.0,1.0,1.0,1.0,1.0
353,1508.0,49340.0,0.0,0.0,1.0,1.0
354,1510.0,49340.0,1.0,1.0,1.0,1.0
355,1515.0,49340.0,1.0,1.0,1.0,1.0
356,1516.0,49340.0,1.0,1.0,1.0,1.0
357,1518.0,49340.0,1.0,1.0,1.0,1.0
358,1519.0,49340.0,1.0,1.0,1.0,1.0
359,1520.0,49340.0,1.0,1.0,1.0,1.0
360,1521.0,44140.0,1.0,1.0,1.0,1.0
361,1522.0,49340.0,1.0,1.0,1.0,1.0
362,1523.0,49340.0,1.0,1.0,1.0,1.0
363,1524.0,49340.0,1.0,1.0,1.0,1.0
364,1525.0,49340.0,0.0,0.0,1.0,1.0
365,1526.0,49340.0,0.0,0.0,1.0,1.0
366,1527.0,49340.0,1.0,1.0,1.0,1.0
367,1529.0,49340.0,1.0,1.0,1.0,1.0
368,1531.0,49340.0,1.0,1.0,1.0,1.0
369,1532.0,15764.0,0.00261217,0.001077586,0.0,0.002359109
370,1532.0,49340.0,0.99738783,0.998922414,1.0,0.997640891
371,1534.0,49340.0,1.0,1.0,1.0,1.0
372,1535.0,49340.0,1.0,1.0,1.0,1.0
373,1536.0,49340.0,1.0,1.0,1.0,1.0
374,1537.0,49340.0,1.0,1.0,1.0,1.0
375,1538.0,49340.0,0.0,0.0,1.0,1.0
376,1540.0,49340.0,1.0,1.0,1.0,1.0
377,1541.0,49340.0,1.0,1.0,1.0,1.0
378,1542.0,49340.0,1.0,1.0,1.0,1.0
379,1543.0,49340.0,1.0,1.0,1.0,1.0
380,1545.0,49340.0,1.0,1.0,1.0,1.0
381,1546.0,49340.0,0.0,1.0,1.0,1.0
382,1550.0,49340.0,1.0,1.0,1.0,1.0
383,1560.0,49340.0,1.0,1.0,1.0,1.0
384,1561.0,49340.0,0.0,0.0,1.0,1.0
385,1562.0,49340.0,1.0,1.0,1.0,1.0
386,1564.0,49340.0,1.0,1.0,1.0,1.0
387,1566.0,49340.0,1.0,1.0,1.0,1.0
388,1568.0,49340.0,1.0,1.0,1.0,1.0
389,1569.0,49340.0,1.0,1.0,1.0,1.0
390,1570.0,49340.0,1.0,1.0,1.0,1.0
391,1571.0,49340.0,1.0,1.0,1.0,1.0
392,1581.0,49340.0,1.0,1.0,1.0,1.0
393,1583.0,49340.0,1.0,1.0,1.0,1.0
394,1585.0,49340.0,1.0,1.0,1.0,1.0
395,1586.0,49340.0,1.0,1.0,1.0,1.0
396,1588.0,49340.0,1.0,1.0,1.0,1.0
397,1590.0,49340.0,1.0,1.0,1.0,1.0
398,1601.0,49340.0,1.0,1.0,1.0,1.0
399,1602.0,49340.0,1.0,1.0,1.0,1.0
400,1603.0,49340.0,1.0,1.0,1.0,1.0
401,1604.0,49340.0,1.0,1.0,1.0,1.0
402,1605.0,49340.0,1.0,1.0,1.0,1.0
403,1606.0,49340.0,1.0,1.0,1.0,1.0
404,1607.0,49340.0,1.0,1.0,1.0,1.0
405,1608.0,49340.0,1.0,1.0,1.0,1.0
406,1609.0,49340.0,1.0,1.0,1.0,1.0
407,1610.0,49340.0,1.0,1.0,1.0,1.0
