,default_wgt_sum,default_count,current_count
aerh,0.0,1.0,129314.0
aeri,0.0,1.0,129314.0
aerk,0.0,1.0,129314.0
aero,0.0,21.0,129294.0
aers,0.0,1.0,129314.0
aes ,0.0,3.0,129312.0
aes$,0.0,1.0,129314.0
aesh,0.0,1.0,129314.0
aest,0.0,5.0,129310.0
aety,0.0,2.0,129313.0
af a,0.0,1.0,129314.0
af i,0.0,1.0,129314.0
af o,0.0,1.0,129314.0
af r,0.0,1.0,129314.0
af s,0.0,1.0,129314.0
afae,0.0,1.0,129314.0
afat,0.0,1.0,129314.0
afe ,1.0,7.0,129308.0
afeg,0.0,2.0,129313.0
afer,0.0,3.0,129312.0
afet,7.99,320.0,128995.0
afew,0.0,3.0,129312.0
aff ,23.94,595.0,128720.0
aff$,5.23,108.0,129207.0
affa,4.0,67.0,129248.0
affe,0.0,1.0,129314.0
affi,8.25,192.0,129123.0
affl,0.0,1.0,129314.0
affo,0.0,3.0,129312.0
affr,0.0,1.0,129314.0
affw,0.0,1.0,129314.0
afic,0.0,1.0,129314.0
afie,0.0,1.0,129314.0
afjr,0.75,1.0,129314.0
afne,0.0,1.0,129314.0
afoo,1.0,12.0,129303.0
afrc,0.0,2.0,129313.0
afri,0.0,1.0,129314.0
afro,0.0,1.0,129314.0
afsw,0.0,1.0,129314.0
aft ,2.75,138.0,129177.0
aft$,0.0,3.0,129312.0
afta,0.0,1.0,129314.0
afte,1.0,53.0,129262.0
afti,0.0,4.0,129311.0
afts,1.8900000000000001,37.0,129278.0
afty,0.0,1.0,129314.0
ag c,0.0,2.0,129313.0
ag i,2.0,3.0,129312.0
ag l,0.0,2.0,129313.0
ag p,0.0,1.0,129314.0
ag r,0.0,3.0,129312.0
ag s,0.0,2.0,129313.0
ag t,0.0,1.0,129314.0
agae,0.0,3.0,129312.0
agag,0.0,4.0,129311.0
agam,0.75,1.0,129314.0
agan,0.0,2.0,129313.0
agar,0.0,3.0,129312.0
agat,0.0,3.0,129312.0
agcy,0.0,1.0,129314.0
age ,29.58,580.0,128735.0
age$,4.0,59.0,129256.0
agea,0.0,1.0,129314.0
aged,0.23,10.0,129305.0
agee,0.0,2.0,129313.0
agef,0.0,1.0,129314.0
ageh,0.0,3.0,129312.0
agei,0.0,1.0,129314.0
agel,0.0,2.0,129313.0
agem,19.83,770.0,128545.0
agen,36.58,797.0,128518.0
ager,713.0800000000024,19813.0,109502.0
ages,0.0,3.0,129312.0
aget,0.0,8.0,129307.0
agga,0.0,2.0,129313.0
agge,1.0,6.0,129309.0
aggi,0.0,1.0,129314.0
aghe,0.0,1.0,129314.0
agi ,0.0,1.0,129314.0
agia,0.0,1.0,129314.0
agil,0.0,1.0,129314.0
agin,6.19,257.0,129058.0
agis,0.0,4.0,129311.0
agle,0.0,3.0,129312.0
agli,0.0,2.0,129313.0
agm$,0.0,3.0,129312.0
agme,0.0,25.0,129290.0
agn ,0.0,1.0,129314.0
agne,0.0,1.0,129314.0
agno,0.0,27.0,129288.0
ago ,0.0,3.0,129312.0
ago$,0.0,1.0,129314.0
agon,0.0,1.0,129314.0
agpa,0.0,1.0,129314.0
agr$,0.0,1.0,129314.0
agra,0.0,1.0,129314.0
agre,0.0,4.0,129311.0
agri,0.0,9.0,129306.0
agro,0.0,2.0,129313.0
agrr,0.0,2.0,129313.0
agrt,0.0,1.0,129314.0
ags ,0.0,2.0,129313.0
agse,0.0,1.0,129314.0
agst,0.0,1.0,129314.0
agua,0.0,1.0,129314.0
ague,0.0,2.0,129313.0
ah 1,0.0,1.0,129314.0
ah f,0.0,1.0,129314.0
ahch,0.0,1.0,129314.0
aher,0.0,4.0,129311.0
ahle,0.0,1.0,129314.0
ahng,0.0,1.0,129314.0
ahr$,0.0,1.0,129314.0
ahti,0.0,1.0,129314.0
ahu ,0.0,1.0,129314.0
ai c,0.0,1.0,129314.0
ai i,0.0,1.0,129314.0
ai t,0.0,1.0,129314.0
aic ,0.0,1.0,129314.0
aic$,0.0,1.0,129314.0
aicr,0.0,1.0,129314.0
aid ,1.0,42.0,129273.0
aid$,2.0,63.0,129252.0
aide,17.91,188.0,129127.0
aidh,0.0,1.0,129314.0
aied,0.0,1.0,129314.0
aign,0.0,6.0,129309.0
aii$,0.0,1.0,129314.0
aiia,0.0,2.0,129313.0
aiii,0.75,2.0,129313.0
ail ,15.46,439.0,128876.0
ail$,0.75,21.0,129294.0
ailc,0.0,4.0,129311.0
aile,1.75,45.0,129270.0
ailh,0.0,39.0,129276.0
aili,0.0,15.0,129300.0
aill,0.0,1.0,129314.0
ailm,1.0,10.0,129305.0
ailo,1.0,4.0,129311.0
ailp,0.0,2.0,129313.0
ailr,2.48,13.0,129302.0
ails,0.0,3.0,129312.0
ailt,0.0,3.0,129312.0
ailu,0.0,3.0,129312.0
ailw,0.0,1.0,129314.0
aim ,3.23,61.0,129254.0
aime,0.0,2.0,129313.0
aimi,0.0,1.0,129314.0
aims,9.49,386.0,128929.0
aimt,0.0,1.0,129314.0
ain ,11.98,156.0,129159.0
ain$,9.23,241.0,129074.0
ain1,0.0,1.0,129314.0
aina,1.0,17.0,129298.0
ainc,0.0,11.0,129304.0
aine,8.620000000000001,314.0,129001.0
ainf,0.0,1.0,129314.0
aing,0.0,2.0,129313.0
ainh,0.0,1.0,129314.0
aini,9.33,267.0,129048.0
ainl,0.0,2.0,129313.0
ainm,0.0,22.0,129293.0
ains,0.0,1.0,129314.0
aint,48.47999999999998,1324.0,127991.0
ainv,0.0,1.0,129314.0
aion,0.0,5.0,129310.0
air ,5.25,206.0,129109.0
air$,3.75,51.0,129264.0
aira,0.0,1.0,129314.0
airb,0.0,3.0,129312.0
airc,2.75,132.0,129183.0
aird,0.0,9.0,129306.0
aire,1.9100000000000001,15.0,129300.0
airf,0.0,10.0,129305.0
airi,0.0,1.0,129314.0
airl,0.23,10.0,129305.0
airm,1.75,35.0,129280.0
airp,2.0,23.0,129292.0
airs,5.600000000000001,88.0,129227.0
airt,0.0,1.0,129314.0
airw,0.0,3.0,129312.0
airy,3.0,25.0,129290.0
ais$,0.0,1.0,129314.0
aisa,0.0,8.0,129307.0
aise,4.5,72.0,129243.0
aisi,0.0,2.0,129313.0
aiso,0.98,73.0,129242.0
aist,1.0,8.0,129307.0
ait ,0.0,1.0,129314.0
ait$,0.0,2.0,129313.0
aita,1.0,1.0,129314.0
aite,6.75,56.0,129259.0
aith,0.0,3.0,129312.0
aiti,0.0,1.0,129314.0
aitl,0.0,1.0,129314.0
