OOS Cutoff = 2015-01-01
Int Range: [0,7]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
9	10.42	5377
10	11.17	3789
11	12.20	2590
12	12.55	1689
13	13.60	1105
14	14.82	697
15	15.85	410

Forest Importance
('even_loan_amnt', 0.0039353455802591817)
('home_ownership', 0.0070043323472829041)
('purpose', 0.0092812577998741836)
('emp_length', 0.011769589995775969)
('annual_inc', 0.016385172504490838)
('caploC', 0.016400903848541631)
('urate_chg', 0.019778490034297682)
('pct_med_inc', 0.02114903633844626)
('urate', 0.021753322434723849)
('revol_bal-loan', 0.025556302090459549)
('clean_title_rank', 0.033382340749804361)
('installment', 0.033732756172045492)
('credit_length', 0.035453376439039723)
('ctloC', 0.037718563298230159)
('loan_amnt', 0.047127539662079332)
('hpa4', 0.050066132649921276)
('revol_bal_pct_inc', 0.05843631065068533)
('dti', 0.063493897011824965)
('pymt_pct_inc', 0.070538397574503628)
('total_acc', 0.072955263450701816)
('sub_grade', 0.073334044491416006)
('int_pct_inc', 0.079653116274557595)
('revol_util', 0.19109450860103819)


Forest Parameters
oob_score: False
n_jobs: 8
verbose: 0
min_density: None
compute_importances: None
max_leaf_nodes: None
bootstrap: True
min_samples_leaf: 400
n_estimators: 200
min_samples_split: 2
random_state: None
criterion: mse
max_features: auto
max_depth: None
